Electricity generation by fuel*,,,,,,,,,,,,,,,,
,,,,,,,,2016,,,,,,,,2017
Terawatt-hours,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other*,Total,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other*,Total
,,,,,,,,,,,,,,,,
US,26.0,1482.1,1346.2,848.1,263.8,367.4,14.4,4347.9,22.7,1368.7,1314.0,847.3,296.5,418.9,13.6,4281.8
Canada,4.3,68.4,65.8,96.4,387.1,42.3,0.4,664.6,4.3,73.4,76.1,96.7,396.9,45.6,0.5,693.4
Mexico,33.5,192.0,34.4,10.6,30.7,18.0,1.1,320.3,40.8,181.1,31.0,10.9,31.7,19.6,-,315.0
Total North America,63.8,1742.5,1446.4,955.0,681.6,427.7,15.8,5332.9,67.7,1623.2,1421.1,954.9,725.1,484.1,14.1,5290.2
,,,,,,,,,,,,,,,,
Argentina,20.7,74.4,1.9,8.4,38.3,3.0,0.4,147.2,11.1,82.8,1.7,6.3,41.6,3.0,0.5,147.0
Brazil,14.9,56.5,26.1,15.9,380.9,84.6,-,578.9,17.2,65.4,25.2,15.8,369.5,97.9,-,590.9
Other S. & Cent. America,106.1,108.3,51.9,-,272.1,38.9,0.1,577.4,90.8,94.7,42.4,-,306.4,43.2,0.4,577.9
Total S. & Cent. America,141.7,239.2,80.0,24.3,691.3,126.4,0.6,1303.5,119.2,242.8,69.4,22.0,717.4,144.1,0.9,1315.8
,,,,,,,,,,,,,,,,
Germany,5.8,81.3,261.7,84.6,20.5,169.1,26.0,649.1,5.7,86.0,242.2,75.9,19.7,198.1,26.6,654.2
Italy,12.1,126.1,38.4,-,42.4,65.6,5.0,289.8,9.0,144.6,32.8,-,36.3,68.4,4.5,295.4
Netherlands,1.3,52.6,36.7,4.0,0.1,14.6,5.9,115.2,1.1,56.4,31.4,5.3,0.1,17.5,4.8,116.6
Poland,2.3,7.8,132.9,-,2.1,20.7,0.8,166.6,1.9,9.8,134.1,-,2.6,21.2,0.8,170.3
Spain,16.8,52.8,37.4,58.6,36.4,68.2,4.4,274.6,17.7,63.1,45.1,58.1,18.5,69.5,3.5,275.4
Turkey,1.9,89.2,92.3,-,67.2,23.8,-,274.4,2.0,108.2,97.6,-,58.4,29.4,-,295.5
United Kingdom,1.8,143.4,30.7,71.7,5.4,77.8,8.5,339.4,2.2,133.3,22.6,70.3,5.9,92.9,8.6,335.9
Other Europe,21.5,150.4,230.8,643.8,471.5,197.6,33.0,1748.6,22.1,173.2,235.6,641.0,434.7,218.2,33.2,1758.0
Total Europe,63.6,703.7,861.0,862.7,645.7,637.4,83.7,3857.8,61.6,774.6,841.3,850.7,576.2,715.1,81.9,3901.3
,,,,,,,,,,,,,,,,
Kazakhstan,2.1,20.0,60.6,-,11.6,0.4,-,94.6,2.0,25.1,64.3,-,11.2,0.4,-,103.0
Russian Federation,25.2,529.4,149.3,196.6,184.8,1.1,4.7,1091.0,15.8,529.9,153.3,203.1,183.3,1.2,4.7,1091.2
Ukraine,1.6,9.8,61.2,81.0,7.7,1.6,1.7,164.6,1.3,7.3,50.6,85.6,8.7,1.7,1.9,157.1
Other CIS,3.3,127.5,3.8,2.4,44.8,0.4,0.3,182.4,3.8,129.8,3.8,2.6,47.5,0.5,0.3,188.2
Total CIS,32.1,686.7,274.8,279.9,248.9,3.4,6.6,1532.6,22.9,692.0,272.1,291.3,250.6,3.8,6.8,1539.5
,,,,,,,,,,,,,,,,
Iran,39.7,223.5,0.5,6.6,15.4,0.5,-,286.1,34.3,245.5,0.5,7.1,16.4,0.6,-,304.4
Saudi Arabia,156.6,213.7,-,-,-,0.1,-,370.4,154.3,221.1,-,-,-,0.1,-,375.6
United Arab Emirates,1.6,127.7,-,-,-,0.3,-,129.6,1.6,133.7,-,-,-,0.5,-,135.8
Other Middle East,130.6,215.8,24.4,-,4.7,3.4,^,379.0,126.1,238.5,22.3,-,3.6,4.7,^,395.2
Total Middle East,328.5,780.7,24.9,6.6,20.2,4.3,^,1165.1,316.3,838.8,22.7,7.1,20.0,6.0,^,1210.9
,,,,,,,,,,,,,,,,
Egypt,34.8,137.5,-,-,13.3,2.6,-,188.2,27.2,149.9,-,-,13.4,2.7,-,193.2
South Africa,^,1.7,223.2,15.9,0.7,7.9,3.3,252.7,^,1.9,223.8,15.8,0.9,8.7,4.1,255.1
Other Africa,51.0,160.8,26.5,-,105.9,12.3,0.5,357.1,54.2,173.3,27.1,-,114.2,13.1,0.4,382.4
Total Africa,85.9,300.0,249.7,15.9,119.9,22.9,3.8,798.0,81.5,325.1,250.9,15.8,128.5,24.5,4.5,830.7
,,,,,,,,,,,,,,,,
Australia,6.0,48.9,162.3,-,17.8,24.1,0.2,259.4,6.3,54.9,159.1,-,13.7,25.2,0.2,259.4
China,10.4,188.3,4163.6,213.3,1153.3,360.9,43.5,6133.2,14.9,196.2,4360.9,248.3,1155.8,471.7,47.4,6495.1
India,10.0,74.0,1090.4,37.9,128.4,80.7,0.1,1421.5,10.3,75.5,1141.4,37.4,135.6,96.4,0.3,1497.0
Indonesia,23.3,59.3,135.4,-,19.4,11.3,^,248.6,23.5,53.2,152.3,-,18.4,13.0,^,260.4
Japan,82.0,397.2,330.9,17.7,80.0,83.1,11.5,1002.3,54.8,401.5,342.5,29.1,79.2,98.9,14.1,1020.0
Malaysia,1.5,63.7,70.9,-,21.8,1.4,-,159.3,1.6,61.9,72.5,-,24.8,1.6,-,162.3
South Korea,17.7,123.1,235.6,162.0,2.8,13.9,5.8,561.0,12.4,120.8,264.4,148.4,3.0,16.0,6.7,571.7
Taiwan,10.9,85.6,120.0,31.7,6.6,4.4,4.9,264.1,12.1,93.8,126.4,22.4,5.4,5.2,4.9,270.3
Thailand,0.5,126.1,37.1,-,3.5,12.5,-,179.7,0.3,121.0,35.7,-,4.7,14.8,-,176.6
Vietnam,0.7,45.0,64.5,-,63.9,0.3,-,174.6,0.8,44.4,74.3,-,70.2,0.4,-,190.1
Other Asia Pacific,79.8,185.8,103.5,5.8,131.0,29.8,0.9,536.7,76.9,195.6,116.6,8.1,131.4,30.7,0.7,559.9
Total Asia Pacific,242.8,1397.0,6514.2,468.3,1628.5,622.4,66.9,10940.3,213.9,1418.7,6846.0,493.7,1642.2,773.9,74.4,11462.9
,,,,,,,,,,,,,,,,
Total World,958.4,5849.7,9451.0,2612.8,4036.1,1844.6,177.5,24930.2,883.0,5915.3,9723.4,2635.6,4059.9,2151.5,182.6,25551.3
of which: OECD,226.6,3056.4,3007.2,1970.4,1406.8,1193.7,114.2,10975.2,196.1,3016.2,2992.0,1956.1,1391.1,1347.7,114.2,11013.2
                 Non-OECD,731.8,2793.3,6443.8,642.4,2629.2,651.0,63.3,13954.9,686.9,2899.1,6731.5,679.5,2668.8,803.9,68.4,14538.1
                 European Union ,59.3,607.2,719.4,839.9,350.0,602.5,76.2,3254.6,57.2,658.5,693.8,830.5,299.7,673.3,73.6,3286.6
,,,,,,,,,,,,,,,,
"*Includes sources not specified elsewhere e.g. pumped hydro, non renewable waste and statistical discrepancies.",,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
